Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
316261,2013-03-04,2013-03-04 00:50:00,2013-03-04 03:50:00,185.0,21,3.4285714285714284,64.86666666666667,0.0075,True
317791,2013-03-04,2013-03-04 00:25:00,2013-03-04 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-03-05,2013-03-05 01:25:00,2013-03-05 02:50:00,90.0,6,4.166666666666667,64.61666666666666,0.0035,True
316261,2013-03-05,2013-03-05 01:20:00,2013-03-05 03:25:00,130.0,12,3.8333333333333335,65.45833333333333,0.0089,True
317791,2013-03-05,2013-03-05 01:25:00,2013-03-05 04:15:00,175.0,35,3.8857142857142857,64.55142857142857,0.003,True
316249,2013-03-06,2013-03-06 01:05:00,2013-03-06 05:55:00,295.0,51,2.411764705882353,70.23137254901961,0.0015,True
316261,2013-03-06,2013-03-06 01:15:00,2013-03-06 04:00:00,170.0,18,3.7222222222222223,64.77222222222223,0.0106,True
317791,2013-03-06,2013-03-06 00:35:00,2013-03-06 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316261,2013-03-07,2013-03-07 01:45:00,2013-03-07 02:00:00,20.0,2,4.5,65.7,0.0073,True
317791,2013-03-07,2013-03-07 00:50:00,2013-03-07 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316249,2013-03-08,2013-03-08 01:55:00,2013-03-08 03:35:00,105.0,4,4.0,64.875,0.0037,True
316261,2013-03-08,2013-03-08 01:50:00,2013-03-08 03:50:00,125.0,8,3.75,65.6,0.0095,True
317791,2013-03-08,2013-03-08 01:05:00,2013-03-08 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
317791,2013-03-09,2013-03-09 02:20:00,2013-03-09 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,False
316249,2013-03-10,2013-03-10 01:30:00,2013-03-10 05:15:00,230.0,22,3.6818181818181817,66.94545454545454,0.0034,True
316261,2013-03-10,2013-03-10 01:20:00,2013-03-10 05:20:00,245.0,30,2.933333333333333,66.15333333333334,0.0081,True
317791,2013-03-10,2013-03-10 01:30:00,2013-03-10 05:40:00,255.0,39,3.5384615384615383,65.15897435897435,0.0029,True
316249,2013-03-11,2013-03-11 02:05:00,2013-03-11 03:20:00,80.0,3,5.0,66.26666666666667,0.0032,True
316261,2013-03-11,2013-03-11 01:40:00,2013-03-11 03:20:00,105.0,10,4.6,65.99,0.0098,True
317791,2013-03-11,2013-03-11 00:25:00,2013-03-11 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-03-12,2013-03-12 01:35:00,2013-03-12 03:00:00,90.0,4,4.0,63.375,0.0038,True
316261,2013-03-12,2013-03-12 01:30:00,2013-03-12 03:50:00,145.0,9,4.666666666666667,64.26666666666667,0.0141,True
317791,2013-03-12,2013-03-12 01:30:00,2013-03-12 04:15:00,170.0,34,3.8529411764705883,64.56470588235294,0.003,True
316249,2013-03-13,2013-03-13 00:50:00,2013-03-13 02:50:00,125.0,5,4.4,64.08,0.0043,True
316261,2013-03-13,2013-03-13 00:40:00,2013-03-13 02:50:00,135.0,7,4.0,64.94285714285715,0.0095,True
317791,2013-03-13,2013-03-13 00:35:00,2013-03-13 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-03-14,2013-03-14 03:00:00,2013-03-14 03:00:00,5.0,1,4.0,63.9,0.0036,True
316261,2013-03-14,2013-03-14 00:50:00,2013-03-14 03:30:00,165.0,4,4.0,64.55,0.0092,True
317791,2013-03-14,2013-03-14 00:50:00,2013-03-14 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316261,2013-03-15,2013-03-15 02:30:00,2013-03-15 03:35:00,70.0,2,4.0,63.800000000000004,0.0113,True
317791,2013-03-15,2013-03-15 01:05:00,2013-03-15 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316249,2013-03-16,2013-03-16 03:35:00,2013-03-16 03:35:00,5.0,1,5.0,64.4,0.0034,True
316261,2013-03-16,2013-03-16 02:55:00,2013-03-16 03:35:00,45.0,3,3.6666666666666665,64.96666666666667,0.0078,True
317791,2013-03-16,2013-03-16 02:20:00,2013-03-16 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-03-17,2013-03-17 01:40:00,2013-03-17 05:10:00,215.0,32,3.4375,67.696875,0.0029,True
316261,2013-03-17,2013-03-17 01:45:00,2013-03-17 05:20:00,220.0,38,2.8157894736842106,66.36052631578947,0.0081,True
317791,2013-03-17,2013-03-17 01:40:00,2013-03-17 05:40:00,245.0,49,3.4693877551020407,65.34897959183674,0.0029,True
316249,2013-03-18,2013-03-18 00:55:00,2013-03-18 02:35:00,105.0,5,4.4,68.92,0.0023,True
316261,2013-03-18,2013-03-18 01:35:00,2013-03-18 02:45:00,75.0,7,3.142857142857143,66.97142857142858,0.0042,True
317791,2013-03-18,2013-03-18 00:25:00,2013-03-18 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-03-19,2013-03-19 02:40:00,2013-03-19 03:15:00,40.0,3,4.666666666666667,63.56666666666666,0.0038,True
316261,2013-03-19,2013-03-19 02:10:00,2013-03-19 03:15:00,70.0,6,4.5,64.96666666666665,0.0103,True
