event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0162,2022-12-01 19:48:00+00:00,2022-12-01 19:32:26+00:00,1,True,,observed,0.2594444444444444
I80-0163,2022-12-02 00:38:00+00:00,2022-12-01 22:48:01+00:00,1,True,,observed,1.8330555555555557
I80-0164,,2022-12-02 18:18:41+00:00,1,False,2022-12-02 18:18:41+00:00,right_censored,
I80-0165,2022-12-05 19:35:00+00:00,2022-12-05 18:14:37+00:00,1,True,,observed,1.3397222222222223
I80-0166,2022-12-11 17:25:00+00:00,2022-12-10 23:57:33+00:00,3,True,,observed,17.4575
I80-0167,,2022-12-11 20:32:19+00:00,1,False,2022-12-11 20:32:19+00:00,right_censored,
I80-0168,,2022-12-31 20:50:02+00:00,1,False,2022-12-31 20:50:02+00:00,right_censored,
I80-0169,2023-01-01 14:45:00+00:00,2022-12-31 23:53:45+00:00,2,True,,observed,14.854166666666666
I80-0170,,2023-01-10 15:56:54+00:00,1,False,2023-01-10 15:56:54+00:00,right_censored,
I80-0171,2023-01-11 13:41:00+00:00,2023-01-10 18:54:51+00:00,2,True,,observed,18.769166666666667
I80-0172,2023-01-14 01:10:00+00:00,2023-01-13 23:36:58+00:00,1,True,,observed,1.5505555555555555
I80-0173,,2023-01-14 16:15:19+00:00,1,False,2023-01-14 16:15:19+00:00,right_censored,
I80-0174,2023-01-15 10:30:00+00:00,2023-01-14 19:06:48+00:00,2,True,,observed,15.386666666666667
I80-0175,,2023-01-15 10:52:10+00:00,1,False,2023-01-15 10:52:10+00:00,right_censored,
I80-0176,,2023-02-05 20:24:40+00:00,2,False,2023-02-06 01:04:38+00:00,right_censored,
I80-0177,,2023-02-23 16:56:32+00:00,2,False,2023-02-23 20:02:27+00:00,right_censored,
I80-0178,2023-02-24 18:40:00+00:00,2023-02-23 21:30:22+00:00,3,True,,observed,21.160555555555554
I80-0179,2023-02-25 03:00:00+00:00,2023-02-24 23:49:14+00:00,1,True,,observed,3.1794444444444445
I80-0180,,2023-02-27 16:20:41+00:00,1,False,2023-02-27 16:20:41+00:00,right_censored,
I80-0181,2023-03-02 00:10:00+00:00,2023-02-28 14:01:15+00:00,4,True,,observed,34.145833333333336
I80-0182,2023-03-02 20:05:00+00:00,2023-03-02 19:14:24+00:00,1,True,,observed,0.8433333333333334
I80-0183,,2023-03-03 15:16:11+00:00,1,False,2023-03-03 15:16:11+00:00,right_censored,
I80-0184,2023-03-06 04:55:00+00:00,2023-03-04 21:22:16+00:00,5,True,,observed,31.545555555555556
I80-0185,,2023-03-06 05:00:58+00:00,1,False,2023-03-06 05:00:58+00:00,right_censored,
I80-0186,2023-03-07 03:20:00+00:00,2023-03-07 02:17:39+00:00,1,True,,observed,1.0391666666666666
I80-0187,,2023-03-07 14:07:01+00:00,2,False,2023-03-07 17:16:41+00:00,right_censored,
I80-0188,,2023-03-09 21:19:29+00:00,1,False,2023-03-09 21:19:29+00:00,right_censored,
I80-0189,,2023-03-12 23:16:45+00:00,1,False,2023-03-12 23:16:45+00:00,right_censored,
I80-0190,,2023-03-15 02:51:41+00:00,1,False,2023-03-15 02:51:41+00:00,right_censored,
I80-0191,2023-03-15 18:35:00+00:00,2023-03-15 14:18:35+00:00,1,True,,observed,4.273611111111111
I80-0192,,2023-03-18 20:01:41+00:00,1,False,2023-03-18 20:01:41+00:00,right_censored,
I80-0193,2023-03-23 23:30:00+00:00,2023-03-23 23:02:46+00:00,1,True,,observed,0.4538888888888889
I80-0194,,2023-03-23 23:31:04+00:00,1,False,2023-03-23 23:31:04+00:00,right_censored,
I80-0195,,2023-03-26 16:38:11+00:00,1,False,2023-03-26 16:38:11+00:00,right_censored,
I80-0196,2023-03-28 23:55:00+00:00,2023-03-28 22:35:45+00:00,1,True,,observed,1.3208333333333333
I80-0197,2023-03-29 05:45:00+00:00,2023-03-29 01:02:41+00:00,1,True,,observed,4.705277777777778
I80-0198,,2023-03-29 05:48:23+00:00,1,False,2023-03-29 05:48:23+00:00,right_censored,
I80-0199,2023-03-30 05:35:00+00:00,2023-03-30 02:46:00+00:00,1,True,,observed,2.816666666666667
I80-0200,,2023-04-01 01:28:38+00:00,1,False,2023-04-01 01:28:38+00:00,right_censored,
I80-0201,,2023-05-19 07:19:26+00:00,1,False,2023-05-19 07:19:26+00:00,right_censored,
I80-0202,,2024-01-05 16:22:10+00:00,1,False,2024-01-05 16:22:10+00:00,right_censored,
I80-0203,,2024-02-07 03:05:17+00:00,1,False,2024-02-07 03:05:17+00:00,right_censored,
I80-0204,,2024-02-28 23:47:08+00:00,1,False,2024-02-28 23:47:08+00:00,right_censored,
I80-0205,2024-03-04 17:15:00+00:00,2024-03-02 01:09:56+00:00,9,True,,observed,64.08444444444444
I80-0206,,2024-03-04 17:17:28+00:00,3,False,2024-03-05 04:17:06+00:00,right_censored,
I80-0207,2024-03-23 14:35:00+00:00,2024-03-23 12:30:36+00:00,1,True,,observed,2.0733333333333333
I80-0208,,2024-04-01 13:52:27+00:00,1,False,2024-04-01 13:52:27+00:00,right_censored,
I80-0209,2024-05-05 02:00:00+00:00,2024-05-04 21:31:29+00:00,1,True,,observed,4.4752777777777775
I80-0210,,2024-05-05 02:18:45+00:00,2,False,2024-05-05 14:10:42+00:00,right_censored,
I80-0211,2024-05-05 12:15:00+00:00,2024-05-05 05:34:59+00:00,1,True,,observed,6.666944444444445
